,disasterNumber,obligationAmount,state,incidentType,declarationTitle,incidentBeginDate
339,4471,18417.95,TN,Severe Storms,SEVERE STORM AND STRAIGHT-LINE WINDS,2019-10-26T12:30:43.000Z
340,4474,102016.22,VT,Severe Storms,SEVERE STORM AND FLOODING,2019-10-31T08:00:00.000Z
341,4476,490433.54000000004,TN,Tornado,"SEVERE STORMS,  TORNADOES,  STRAIGHT-LINE WINDS,  AND FLOODING",2020-03-03T00:01:00.000Z
393,4536,254743.43,MS,Severe Storms,"SEVERE STORMS,  TORNADOES,  STRAIGHT-LINE WINDS,  AND FLOODING",2020-04-12T05:59:00.000Z
394,4541,341463.0199999999,TN,Severe Storms,"SEVERE STORMS,  TORNADOES,  STRAIGHT-LINE WINDS,  AND FLOODING",2020-04-12T05:59:00.000Z
395,4543,439781.52,NC,Severe Storms,"SEVERE STORMS,  TORNADOES,  AND FLOODING",2020-02-06T16:18:00.000Z
397,4557,389320.78,IA,Severe Storms,SEVERE STORMS,2020-08-10T00:00:00.000Z
398,4558,32596401.14999999,CA,Fire,WILDFIRES,2020-08-14T08:00:00.000Z
399,4559,139178049.85999998,LA,Hurricane,HURRICANE LAURA,2020-08-22T08:00:00.000Z
400,4562,44601060.91,OR,Fire,WILDFIRES AND STRAIGHT-LINE WINDS,2020-09-07T00:00:00.000Z
401,4563,1263684.4900000002,AL,Hurricane,HURRICANE SALLY,2020-09-14T09:25:00.000Z
402,4564,1285678.67,FL,Hurricane,HURRICANE SALLY,2020-09-14T09:25:00.000Z
403,4568,353671.73,NC,Hurricane,HURRICANE ISAIAS,2020-07-31T21:46:00.000Z
404,4569,14182387.620000001,CA,Fire,WILDFIRES,2020-09-04T10:00:00.000Z
405,4570,5913297.440000001,LA,Hurricane,HURRICANE DELTA,2020-10-06T08:00:00.000Z
406,4572,2920414.65,TX,Hurricane,HURRICANE LAURA,2020-08-23T00:00:00.000Z
407,4573,347882.99,AL,Hurricane,HURRICANE ZETA,2020-10-28T08:00:00.000Z
408,4576,34770.48999999999,MS,Hurricane,HURRICANE ZETA,2020-10-28T08:00:00.000Z
409,4577,550251.3099999999,LA,Hurricane,HURRICANE ZETA,2020-10-26T08:00:00.000Z
410,4580,104560.99,CT,Hurricane,TROPICAL STORM ISAIAS,2020-08-04T21:46:00.000Z
412,4586,9732335.33,TX,Severe Ice Storm,SEVERE WINTER STORMS,2021-02-11T11:25:28.000Z
413,4588,364942.0,NC,Severe Storms,TROPICAL STORM ETA,2020-11-12T09:44:00.000Z
414,4589,78140.23,ID,Severe Storms,STRAIGHT-LINE WINDS,2021-01-13T00:00:00.000Z
415,4593,2500.0,WA,Severe Storms,"SEVERE WINTER STORM,  STRAIGHT-LINE WINDS,  FLOODING,  LANDSLIDES,  AND MUDSLIDES",2020-12-29T00:00:00.000Z
416,4601,10000.0,TN,Tornado,"SEVERE STORMS,  TORNADOES,  AND FLOODING",2021-03-25T00:01:00.000Z
417,4606,10000.0,LA,Flood,"SEVERE STORMS,  TORNADOES,  AND FLOODING",2021-05-17T08:00:00.000Z
418,4607,161200.0,MI,Severe Storms,"SEVERE STORMS,  FLOODING,  AND TORNADOES",2021-06-25T00:00:00.000Z
