,disasterNumber,obligationAmount,state,incidentType,declarationTitle,incidentBeginDate
187,4204,4.547473508864641e-13,NY,Snow,"SEVERE WINTER STORM,  SNOWSTORM,  AND FLOODING",2014-11-17T12:00:00.000Z
188,4209,2658.58,NH,Severe Storms,SEVERE WINTER STORM AND SNOWSTORM,2015-01-26T00:01:00.000Z
189,4210,134885.37,WV,Severe Storms,"SEVERE WINTER STORM,  FLOODING,  LANDSLIDES,  AND MUDSLIDES",2015-03-03T12:00:00.000Z
190,4211,353673.89,TN,Severe Ice Storm,SEVERE WINTER STORM AND FLOODING,2015-02-15T00:01:00.000Z
191,4213,34592.35,CT,Severe Storms,SEVERE WINTER STORM AND SNOWSTORM,2015-01-26T00:01:00.000Z
192,4214,119947.68,MA,Severe Storms,"SEVERE WINTER STORM,  SNOWSTORM,  AND FLOODING",2015-01-26T00:01:00.000Z
193,4215,121743.97,GA,Severe Ice Storm,SEVERE WINTER STORM,2015-02-15T00:01:00.000Z
194,4217,0.0,KY,Flood,"SEVERE STORMS,  TORNADOES,  FLOODING,  LANDSLIDES,  AND MUDSLIDES",2015-04-02T12:00:00.000Z
195,4218,232262.58000000002,KY,Flood,"SEVERE WINTER STORM,  SNOWSTORM,  FLOODING,  LANDSLIDES,  AND MUDSLIDES",2015-03-03T09:15:15.000Z
196,4219,0.0,WV,Severe Storms,"SEVERE STORMS,  FLOODING,  LANDSLIDES,  AND MUDSLIDES",2015-04-03T08:00:00.000Z
197,4220,0.0,WV,Flood,"SEVERE STORMS,  FLOODING,  LANDSLIDES,  AND MUDSLIDES",2015-04-08T08:00:00.000Z
198,4221,246509.21999999997,WV,Flood,"SEVERE STORMS,  FLOODING,  LANDSLIDES,  AND MUDSLIDES",2015-04-13T08:00:00.000Z
199,4222,8610578.299999999,OK,Severe Storms,"SEVERE STORMS,  TORNADOES,  STRAIGHT-LINE WINDS,  AND FLOODING",2015-05-05T00:00:00.000Z
200,4223,1736326.79,TX,Severe Storms,"SEVERE STORMS,  TORNADOES,  STRAIGHT-LINE WINDS AND FLOODING",2015-05-04T00:00:00.000Z
201,4225,1974878.15,NE,Severe Storms,"SEVERE STORMS,  TORNADOES,  STRAIGHT-LINE WINDS,  AND FLOODING",2015-05-06T00:00:00.000Z
202,4226,637446.55,AR,Severe Storms,"SEVERE STORMS,  TORNADOES,  STRAIGHT-LINE WINDS,  AND FLOODING",2015-05-07T00:00:00.000Z
203,4227,189009.86,WY,Flood,SEVERE STORMS AND FLOODING,2015-05-24T00:00:00.000Z
204,4229,221173.14,CO,Flood,"SEVERE STORMS,  TORNADOES,  FLOODING,  LANDSLIDES,  AND MUDSLIDES",2015-05-04T00:00:00.000Z
205,4230,733.6300000000001,KS,Severe Storms,"SEVERE STORMS,  TORNADOES,  STRAIGHT-LINE WINDS,  AND FLOODING",2015-05-04T00:00:00.000Z
206,4233,174774.27000000002,SD,Severe Storms,"SEVERE STORMS,  TORNADOES,  STRAIGHT-LINE WINDS,  AND FLOODING",2015-06-17T00:00:00.000Z
207,4234,4157.280000000001,IA,Severe Storms,"SEVERE STORMS,  TORNADOES,  STRAIGHT-LINE WINDS,  AND FLOODING",2015-06-20T00:00:00.000Z
208,4237,1236104.4100000001,SD,Severe Storms,"SEVERE STORMS,  STRAIGHT-LINE WINDS,  AND FLOODING",2015-05-08T00:00:00.000Z
209,4238,283095.55999999994,MO,Severe Storms,"SEVERE STORMS,  TORNADOES,  STRAIGHT-LINE WINDS,  AND FLOODING",2015-05-15T00:00:00.000Z
210,4240,4803051.430000001,CA,Fire,VALLEY FIRE AND BUTTE FIRE,2015-09-09T00:00:00.000Z
211,4241,3957009.719999999,SC,Flood,SEVERE STORMS AND FLOODING,2015-10-01T00:01:00.000Z
212,4243,68668.66,WA,Fire,WILDFIRES AND MUDSLIDES,2015-08-09T00:00:00.000Z
213,4245,28294.890000000014,TX,Severe Storms,"SEVERE STORMS,  TORNADOES,  STRAIGHT-LINE WINDS,  AND FLOODING",2015-10-22T00:00:00.000Z
214,4246,2653.77,ID,Severe Storms,SEVERE STORM AND STRAIGHT-LINE WIND,2015-11-17T00:01:00.000Z
215,4248,129121.40999999999,MS,Severe Storms,"SEVERE STORMS,  TORNADOES,  STRAIGHT-LINE WINDS,  AND FLOODING",2015-12-23T00:01:00.000Z
216,4249,46503.9,WA,Severe Storms,"SEVERE STORMS,  STRAIGHT-LINE WINDS,  FLOODING,  LANDSLIDES,  AND MUDSLIDES",2015-11-12T00:00:00.000Z
217,4250,820571.6099999999,MO,Flood,"SEVERE STORMS,  TORNADOES,  STRAIGHT-LINE WINDS,  AND FLOODING",2015-12-23T12:00:00.000Z
218,4251,4856.590000000001,AL,Severe Storms,"SEVERE STORMS,  TORNADOES,  STRAIGHT-LINE WINDS,  AND FLOODING",2015-12-23T00:01:00.000Z
219,4254,639155.7899999999,AR,Severe Storms,"SEVERE STORMS,  TORNADOES,  STRAIGHT-LINE WINDS,  AND FLOODING",2015-12-26T00:00:00.000Z
220,4255,154452.6,TX,Severe Storms,"SEVERE WINTER STORMS,  TORNADOES,  STRAIGHT-LINE WINDS,  AND FLOODING",2015-12-26T00:00:00.000Z
221,4258,44462.52,OR,Severe Storms,"SEVERE WINTER STORMS,  STRAIGHT-LINE WINDS,  FLOODING,  LANDSLIDES,  AND MUDSLIDES",2015-12-06T00:00:00.000Z
222,4263,5771911.039999999,LA,Flood,SEVERE STORMS AND FLOODING,2016-03-08T00:00:00.000Z
223,4266,605529.73,TX,Flood,"SEVERE STORMS,  TORNADOES,  AND FLOODING",2016-03-07T00:00:00.000Z
224,4267,0.0,PA,Snow,SEVERE WINTER STORM AND SNOWSTORM,2016-01-22T10:04:00.000Z
225,4268,312170.34,MS,Flood,SEVERE STORMS AND FLOODING,2016-03-09T10:03:00.000Z
226,4269,7172730.75,TX,Flood,SEVERE STORMS AND FLOODING,2016-04-17T00:00:00.000Z
227,4270,25315.02,AR,Severe Storms,"SEVERE STORMS,  TORNADOES,  STRAIGHT-LINE WINDS,  AND FLOODING",2016-03-08T00:00:00.000Z
228,4272,1198796.0599999998,TX,Flood,SEVERE STORMS AND FLOODING,2016-05-22T00:00:00.000Z
229,4273,1514453.04,WV,Flood,"SEVERE STORMS,  FLOODING,  LANDSLIDES,  AND MUDSLIDES",2016-06-22T00:00:00.000Z
230,4276,77864.33,WI,Severe Storms,SEVERE STORMS AND FLOODING,2016-07-11T13:18:44.000Z
231,4277,90323944.01000006,LA,Flood,SEVERE STORMS AND FLOODING,2016-08-11T00:00:00.000Z
232,4280,3248.74,FL,Hurricane,HURRICANE HERMINE,2016-08-31T00:00:00.000Z
233,4281,1905.3400000000001,IA,Flood,"SEVERE STORMS,  STRAIGHT-LINE WINDS,  AND FLOODING",2016-08-23T09:43:10.000Z
234,4283,400242.74,FL,Hurricane,HURRICANE MATTHEW,2016-10-03T12:00:00.000Z
235,4284,887125.9700000002,GA,Hurricane,HURRICANE MATTHEW,2016-10-04T12:00:00.000Z
236,4285,7422680.529999999,NC,Hurricane,HURRICANE MATTHEW,2016-10-04T12:00:01.000Z
237,4286,2993608.8499999996,SC,Hurricane,HURRICANE MATTHEW,2016-10-04T12:00:01.000Z
238,4288,51697.68,WI,Flood,"SEVERE STORMS,  FLOODING,  AND MUDSLIDES",2016-09-21T00:00:00.000Z
239,4289,0.0,IA,Flood,SEVERE STORMS AND FLOODING,2016-09-21T00:00:00.000Z
240,4290,83185.04000000001,MN,Flood,SEVERE STORMS AND FLOODING,2016-09-21T00:00:00.000Z
241,4291,160794.75999999998,VA,Hurricane,HURRICANE MATTHEW,2016-10-07T12:00:00.000Z
242,4293,331459.18,TN,Fire,WILDFIRES,2016-11-28T00:01:00.000Z
243,4294,105956.56,GA,Severe Storms,"SEVERE STORMS,  TORNADOES,  AND STRAIGHT-LINE WINDS",2017-01-02T00:00:00.000Z
244,4295,3814.3499999999985,MS,Tornado,"SEVERE STORMS,  TORNADOES,  STRAIGHT-LINE WINDS,  AND FLOODING",2017-01-20T00:00:00.000Z
245,4296,1765.8600000000001,OR,Severe Storms,SEVERE WINTER STORM AND FLOODING,2016-12-14T00:01:15.000Z
246,4297,782876.14,GA,Tornado,"SEVERE STORMS,  TORNADOES,  STRAIGHT-LINE WINDS,  AND FLOODING",2017-01-21T00:00:00.000Z
247,4298,1019835.9,SD,Severe Storms,SEVERE WINTER STORM,2016-12-24T00:00:00.000Z
248,4301,216446.44,CA,Severe Storms,"SEVERE WINTER STORMS,  FLOODING,  AND MUDSLIDES",2017-01-03T00:00:00.000Z
249,4303,131394.25,NV,Severe Storms,"SEVERE WINTER STORMS,  FLOODING,  AND MUDSLIDES",2017-01-05T00:00:00.000Z
250,4304,0.0,KS,Severe Ice Storm,SEVERE WINTER STORM,2017-01-13T06:00:00.000Z
251,4307,36192.2,NV,Severe Storms,"SEVERE WINTER STORMS,  FLOODING,  AND MUDSLIDES",2017-02-05T06:55:00.000Z
252,4308,1721710.13,CA,Flood,"SEVERE WINTER STORMS,  FLOODING,  AND MUDSLIDES",2017-02-01T06:55:25.000Z
253,4309,3875.84,WA,Flood,"SEVERE WINTER STORMS,  FLOODING,  LANDSLIDES,   MUDSLIDES",2017-01-30T00:00:00.000Z
254,4310,1182.96,ID,Flood,SEVERE WINTER STORMS AND FLOODING,2017-02-05T00:00:00.000Z
255,4313,286.3600000000001,ID,Flood,"SEVERE STORMS,  FLOODING,  LANDSLIDES,  AND MUDSLIDES",2017-03-06T00:00:00.000Z
256,4314,112007.08,MS,Severe Storms,"SEVERE STORMS,  TORNADOES,  STRAIGHT-LINE WINDS,  AND FLOODING",2017-04-30T00:01:00.000Z
257,4315,2594238.8800000004,OK,Severe Storms,"SEVERE STORMS,  TORNADOES,  AND FLOODING",2017-04-28T10:53:00.000Z
258,4317,835516.43,MO,Flood,"SEVERE STORMS,  TORNADOES,  STRAIGHT-LINE WINDS AND FLOODING",2017-04-28T12:00:00.000Z
259,4318,16978.89,AR,Severe Storms,"SEVERE STORMS,  TORNADOES,  STRAIGHT-LINE WINDS,  AND FLOODING",2017-04-26T00:00:00.000Z
260,4319,0.0,KS,Snow,"SEVERE WINTER STORM,  SNOWSTORM,  STRAIGHT-LINE WINDS,  AND FLOODING",2017-04-28T00:00:00.000Z
261,4321,30811.589999999997,NE,Severe Storms,SEVERE WINTER STORM AND STRAIGHT-LINE WINDS,2017-04-29T00:00:00.000Z
262,4323,19415.82,ND,Flood,FLOODING,2017-03-23T00:01:00.000Z
263,4324,2059419.3599999996,OK,Tornado,"SEVERE STORMS,  TORNADOES,  STRAIGHT-LINE WINDS,  AND FLOODING",2017-05-16T10:08:00.000Z
264,4325,147528.14,NE,Severe Storms,"SEVERE STORMS,  TORNADOES,  AND STRAIGHT-LINE WINDS",2017-06-12T00:00:00.000Z
265,4326,103137.6,MI,Severe Storms,SEVERE STORMS AND FLOODING,2017-06-22T00:00:00.000Z
266,4328,769.53,OR,Severe Storms,"SEVERE WINTER STORMS,  FLOODING,  LANDSLIDES,  AND MUDSLIDES",2017-01-07T00:00:00.000Z
267,4331,23220.47999999998,WV,Severe Storms,"SEVERE STORMS,  FLOODING,  LANDSLIDES,  AND MUDSLIDES",2017-07-28T12:00:00.000Z
268,4332,398008810.60000014,TX,Hurricane,HURRICANE HARVEY,2017-08-23T08:09:52.000Z
269,4337,272896819.2100003,FL,Hurricane,HURRICANE IRMA,2017-09-04T09:00:00.000Z
270,4338,5741496.59,GA,Hurricane,HURRICANE IRMA,2017-09-07T09:00:00.000Z
271,4341,24006.0,FL,Hurricane,HURRICANE IRMA - SEMINOLE TRIBE OF FLORIDA,2017-09-04T00:00:00.000Z
272,4344,749221406.7100003,CA,Fire,WILDFIRES,2017-10-08T02:30:00.000Z
273,4346,168513.87000000002,SC,Hurricane,HURRICANE IRMA,2017-09-06T00:00:00.000Z
274,4351,4672.32,AK,Severe Storms,SEVERE STORM,2017-09-28T00:00:00.000Z
275,4352,87557.7,NM,Flood,SEVERE STORMS AND FLOODING,2017-10-04T00:00:00.000Z
276,4353,68508216.13000001,CA,Fire,"WILDFIRES,  FLOODING,  MUDFLOWS,  AND DEBRIS FLOWS",2017-12-04T18:00:00.000Z
277,4354,141855.86,ME,Severe Storms,SEVERE STORM AND FLOODING,2017-10-29T00:00:00.000Z
278,4355,355701.06000000006,NH,Severe Storms,SEVERE STORM AND FLOODING,2017-10-29T00:00:00.000Z
279,4356,10079.029999999999,VT,Severe Storms,SEVERE STORM AND FLOODING,2017-10-29T00:00:00.000Z
280,4358,1018002.8300000001,KY,Flood,"SEVERE STORMS,  FLOODING,  LANDSLIDES,  AND MUDSLIDES",2018-02-09T12:01:01.000Z
281,4359,657516.96,WV,Mud/Landslide,"SEVERE STORMS,  FLOODING,  LANDSLIDES,  AND MUDSLIDES",2018-02-14T00:00:00.000Z
282,4360,3302894.0599999996,OH,Flood,"SEVERE STORMS,  LANDSLIDES,  AND MUDSLIDES",2018-02-14T04:00:00.000Z
283,4362,201660.26,AL,Severe Storms,SEVERE STORMS AND TORNADOES,2018-03-19T00:00:00.000Z
284,4363,816581.02,IN,Flood,SEVERE STORMS AND FLOODING,2018-02-14T08:00:00.000Z
285,4364,0.0,NC,Severe Storms,TORNADO AND SEVERE STORMS,2018-04-15T00:00:00.000Z
286,4365,102651.43,HI,Flood,"SEVERE STORMS,  FLOODING,  LANDSLIDES,  AND MUDSLIDES",2018-04-13T13:36:00.000Z
287,4366,5034568.74,HI,Volcano,KILAUEA VOLCANIC ERUPTION AND EARTHQUAKES,2018-05-03T00:00:00.000Z
288,4367,0.0,ME,Coastal Storm,SEVERE STORM AND FLOODING,2018-03-02T09:35:22.000Z
289,4370,61121.369999999995,NH,Coastal Storm,SEVERE STORM AND FLOODING,2018-03-02T09:35:22.000Z
