,disasterNumber,obligationAmount,state,incidentType,declarationTitle,incidentBeginDate,lat,lon,incidentDate,incidentTime
234,4291,160794.75999999998,VA,Hurricane,HURRICANE MATTHEW,2016-10-07T12:00:00.000Z,36.6959378,-77.1586002,2016-10-07,12:00:00.000Z
235,4293,331459.18,TN,Fire,WILDFIRES,2016-11-28T00:01:00.000Z,35.8047065,-83.5291901,2016-11-28,00:01:00.000Z
236,4294,105956.56,GA,Severe Storms,"SEVERE STORMS,  TORNADOES,  AND STRAIGHT-LINE WINDS",2017-01-02T00:00:00.000Z,31.3454341,-84.9282058,2017-01-02,00:00:00.000Z
237,4295,3814.3499999999985,MS,Tornado,"SEVERE STORMS,  TORNADOES,  STRAIGHT-LINE WINDS,  AND FLOODING",2017-01-20T00:00:00.000Z,31.1540772,-89.2398601,2017-01-20,00:00:00.000Z
238,4296,1765.8600000000001,OR,Severe Storms,SEVERE WINTER STORM AND FLOODING,2016-12-14T00:01:15.000Z,43.9314567,-122.8575849,2016-12-14,00:01:15.000Z
239,4297,782876.14,GA,Tornado,"SEVERE STORMS,  TORNADOES,  STRAIGHT-LINE WINDS,  AND FLOODING",2017-01-21T00:00:00.000Z,31.3439196,-84.4555346,2017-01-21,00:00:00.000Z
240,4298,1019835.9,SD,Severe Storms,SEVERE WINTER STORM,2016-12-24T00:00:00.000Z,44.9881665,-101.2124836463615,2016-12-24,00:00:00.000Z
241,4301,216446.44,CA,Severe Storms,"SEVERE WINTER STORMS,  FLOODING,  AND MUDSLIDES",2017-01-03T00:00:00.000Z,37.6090291,-121.899142,2017-01-03,00:00:00.000Z
242,4303,131394.25,NV,Severe Storms,"SEVERE WINTER STORMS,  FLOODING,  AND MUDSLIDES",2017-01-05T00:00:00.000Z,39.5242942,-119.78611671947868,2017-01-05,00:00:00.000Z
243,4304,0.0,KS,Severe Ice Storm,SEVERE WINTER STORM,2017-01-13T06:00:00.000Z,38.4683432,-98.776234,2017-01-13,06:00:00.000Z
244,4307,36192.2,NV,Severe Storms,"SEVERE WINTER STORMS,  FLOODING,  AND MUDSLIDES",2017-02-05T06:55:00.000Z,40.5849048,-119.6131606,2017-02-05,06:55:00.000Z
245,4308,1721710.13,CA,Flood,"SEVERE WINTER STORMS,  FLOODING,  AND MUDSLIDES",2017-02-01T06:55:25.000Z,37.6090291,-121.899142,2017-02-01,06:55:25.000Z
246,4309,3875.84,WA,Flood,"SEVERE WINTER STORMS,  FLOODING,  LANDSLIDES,   MUDSLIDES",2017-01-30T00:00:00.000Z,46.9723633,-118.5934644,2017-01-30,00:00:00.000Z
247,4310,1182.96,ID,Flood,SEVERE WINTER STORMS AND FLOODING,2017-02-05T00:00:00.000Z,43.1881598,-112.3598354,2017-02-05,00:00:00.000Z
248,4313,286.3600000000001,ID,Flood,"SEVERE STORMS,  FLOODING,  LANDSLIDES,  AND MUDSLIDES",2017-03-06T00:00:00.000Z,47.2162961,-116.6654616,2017-03-06,00:00:00.000Z
249,4314,112007.08,MS,Severe Storms,"SEVERE STORMS,  TORNADOES,  STRAIGHT-LINE WINDS,  AND FLOODING",2017-04-30T00:01:00.000Z,31.4904067,-91.3297733,2017-04-30,00:01:00.000Z
250,4315,2594238.8800000004,OK,Severe Storms,"SEVERE STORMS,  TORNADOES,  AND FLOODING",2017-04-28T10:53:00.000Z,35.8783136,-94.6567402,2017-04-28,10:53:00.000Z
251,4317,835516.43,MO,Flood,"SEVERE STORMS,  TORNADOES,  STRAIGHT-LINE WINDS AND FLOODING",2017-04-28T12:00:00.000Z,36.7033624,-93.8229669,2017-04-28,12:00:00.000Z
252,4318,16978.89,AR,Severe Storms,"SEVERE STORMS,  TORNADOES,  STRAIGHT-LINE WINDS,  AND FLOODING",2017-04-26T00:00:00.000Z,35.5298937,-92.0312818,2017-04-26,00:00:00.000Z
253,4319,0.0,KS,Snow,"SEVERE WINTER STORM,  SNOWSTORM,  STRAIGHT-LINE WINDS,  AND FLOODING",2017-04-28T00:00:00.000Z,37.1718068,-94.8482069,2017-04-28,00:00:00.000Z
254,4321,30811.589999999997,NE,Severe Storms,SEVERE WINTER STORM AND STRAIGHT-LINE WINDS,2017-04-29T00:00:00.000Z,41.9195837,-99.979237,2017-04-29,00:00:00.000Z
255,4323,19415.82,ND,Flood,FLOODING,2017-03-23T00:01:00.000Z,48.0191362,-99.403103,2017-03-23,00:01:00.000Z
256,4324,2059419.3599999996,OK,Tornado,"SEVERE STORMS,  TORNADOES,  STRAIGHT-LINE WINDS,  AND FLOODING",2017-05-16T10:08:00.000Z,35.2496723,-99.6946079,2017-05-16,10:08:00.000Z
257,4325,147528.14,NE,Severe Storms,"SEVERE STORMS,  TORNADOES,  AND STRAIGHT-LINE WINDS",2017-06-12T00:00:00.000Z,41.5563598,-103.7384513,2017-06-12,00:00:00.000Z
258,4326,103137.6,MI,Severe Storms,SEVERE STORMS AND FLOODING,2017-06-22T00:00:00.000Z,43.6957567,-83.9402747,2017-06-22,00:00:00.000Z
259,4328,769.53,OR,Severe Storms,"SEVERE WINTER STORMS,  FLOODING,  LANDSLIDES,  AND MUDSLIDES",2017-01-07T00:00:00.000Z,45.9280203,-123.082293,2017-01-07,00:00:00.000Z
260,4331,23220.47999999998,WV,Severe Storms,"SEVERE STORMS,  FLOODING,  LANDSLIDES,  AND MUDSLIDES",2017-07-28T12:00:00.000Z,39.2632436,-80.7299566,2017-07-28,12:00:00.000Z
261,4332,398008810.60000014,TX,Hurricane,HURRICANE HARVEY,2017-08-23T08:09:52.000Z,29.4263987,-98.5104781,2017-08-23,08:09:52.000Z
262,4337,272896819.2100003,FL,Hurricane,HURRICANE IRMA,2017-09-04T09:00:00.000Z,30.2481693,-85.6593633,2017-09-04,09:00:00.000Z
263,4338,5741496.59,GA,Hurricane,HURRICANE IRMA,2017-09-07T09:00:00.000Z,31.7771435,-82.2996274,2017-09-07,09:00:00.000Z
264,4341,24006.0,FL,Hurricane,HURRICANE IRMA - SEMINOLE TRIBE OF FLORIDA,2017-09-04T00:00:00.000Z,27.1189394,-81.083678,2017-09-04,00:00:00.000Z
265,4344,749221406.7100003,CA,Fire,WILDFIRES,2017-10-08T02:30:00.000Z,38.2218938,-121.9163555,2017-10-08,02:30:00.000Z
266,4346,168513.87000000002,SC,Hurricane,HURRICANE IRMA,2017-09-06T00:00:00.000Z,34.90524785,-80.8864620074782,2017-09-06,00:00:00.000Z
267,4351,4672.32,AK,Severe Storms,SEVERE STORM,2017-09-28T00:00:00.000Z,69.5335129,-153.8220681,2017-09-28,00:00:00.000Z
268,4352,87557.7,NM,Flood,SEVERE STORMS AND FLOODING,2017-10-04T00:00:00.000Z,34.8969052,-107.5817815,2017-10-04,00:00:00.000Z
269,4353,68508216.13000001,CA,Fire,"WILDFIRES,  FLOODING,  MUDFLOWS,  AND DEBRIS FLOWS",2017-12-04T18:00:00.000Z,32.9637838,-116.7706277,2017-12-04,18:00:00.000Z
270,4354,141855.86,ME,Severe Storms,SEVERE STORM AND FLOODING,2017-10-29T00:00:00.000Z,43.8506432,-70.4001498,2017-10-29,00:00:00.000Z
